"id","reservation_cost_id","cost_detail","amount","back_therapist_amount"
1,1,"区分1",0,0
2,1,"区分2",500,500
3,1,"区分3",1000,1000
4,1,"区分4",2000,2000
5,1,"区分5",3000,3000
6,1,"区分6",4000,4000
7,1,"リクエスト出張",0,0
8,2,"",1000,1000
9,3,"",1000,1000
10,4,"",3000,3000
11,5,"",5000,5000
12,6,"写メ３枚",3000,2100
13,6,"動画撮影",9000,6300
14,6,"ディルド",1000,700
15,7,"新人割",-5000,-2500
16,7,"口コミ割",-1000,0
17,8,"1pt",7000,4900
18,8,"プチ",1000,700
19,8,"スペシャル",50000,35000
